State|1990\1\|2000\2\|2005\2\|2010\2\|2015\2\|2016\2\|2017\2\|2018\2\|2019\2\|2021\2
Hawaii |"82,100"|"81,300"|"80,800"|"(1,660)"|"78,500"|"(1,180)"|"84,000"|"(1,400)"|"84,100"|"(1,220)"|"86,000"|"(1,210)"|"86,500"|"(1,320)"|"88,100"|"(1,380)"|"84,900"|"(1,280)"
Idaho |"53,400"|"61,300"|"57,600"|(710)|"54,200"|(760)|"55,200"|(760)|"58,500"|(660)|"57,700"|(590)|"60,000"|(600)|"64,600"|(690)|"66,500"|"(1,070)"
Illinois |"68,200"|"76,000"|"69,900"|(290)|"66,000"|(330)|"68,100"|(360)|"68,800"|(270)|"69,600"|(370)|"70,200"|(330)|"73,300"|(380)|"72,200"|(350)
Indiana |"60,900"|"67,800"|"61,200"|(430)|"55,600"|(340)|"57,800"|(270)|"59,100"|(250)|"59,900"|(440)|"60,100"|(340)|"61,000"|(440)|"62,700"|(440)
Iowa|"55,500"|"64,400"|"60,600"|(440)|"59,700"|(490)|"62,600"|(550)|"63,500"|(480)|"64,700"|(570)|"64,700"|(580)|"65,400"|(480)|"65,600"|(470)
Kansas|"57,700"|"66,300"|"59,700"|(620)|"60,100"|(660)|"61,600"|(610)|"62,000"|(610)|"62,400"|(470)|"62,800"|(510)|"65,800"|(450)|"64,100"|(580)
Kentucky |"47,700"|"54,900"|"52,000"|(400)|"49,100"|(380)|"50,500"|(290)|"52,200"|(500)|"51,700"|(400)|"51,600"|(430)|"51,400"|(380)|"51,200"|(420)
Louisiana|"50,200"|"55,100"|"50,600"|(470)|"49,500"|(470)|"50,900"|(390)|"51,200"|(430)|"51,700"|(390)|"51,600"|(340)|"51,800"|(470)|"52,500"|(390)
Maine|"50,300"|"54,400"|"51,400"|(520)|"50,600"|(520)|"51,300"|(490)|"53,500"|(600)|"53,900"|(610)|"54,600"|(620)|"56,300"|(510)|"58,900"|(510)
Maryland|"77,300"|"80,100"|"78,500"|"(1,150)"|"74,100"|"(1,040)"|"76,300"|"(1,170)"|"78,100"|"(1,230)"|"80,100"|"(1,270)"|"80,900"|"(1,150)"|"83,800"|"(1,120)"|"83,600"|"(1,310)"
Massachusetts|"76,800"|"79,600"|"76,400"|(750)|"69,100"|"(610)"|"71,500"|"(600)"|"73,200"|"(480)"|"75,600"|"(480)"|"76,800"|"(580)"|"80,500"|"(560)"|"78,900"|"(730)"
Michigan|"61,800"|"69,200"|"65,800"|(470)|"61,200"|(500)|"63,000"|(420)|"63,800"|(420)|"65,000"|(500)|"65,300"|(540)|"67,500"|(510)|"68,400"|(510)
Minnesota |"65,300"|"74,400"|"70,200"|(500)|"66,900"|(630)|"69,200"|(670)|"69,800"|(570)|"70,800"|(630)|"72,800"|(650)|"74,500"|(640)|"76,500"|(660)
Mississippi |"42,800"|"47,800"|"43,600"|(370)|"40,600"|(320)|"42,000"|(220)|"43,300"|(350)|"43,500"|(280)|"44,700"|(380)|"45,700"|(340)|"44,900"|(380)
Missouri|"55,900"|"62,900"|"58,900"|(450)|"55,100"|(460)|"57,600"|(350)|"59,200"|(470)|"60,500"|(450)|"60,300"|(470)|"61,300"|(500)|"62,100"|(500)
Montana |"48,500"|"53,200"|"49,300"|(510)|"47,600"|(550)|"49,000"|(490)|"51,300"|(660)|"49,400"|(550)|"51,800"|(590)|"53,200"|(600)|"55,100"|(590)
Nebraska|"55,700"|"63,900"|"60,000"|(470)|"57,900"|(590)|"60,900"|(670)|"62,100"|(580)|"61,500"|(610)|"62,000"|(630)|"63,100"|(570)|"63,700"|(600)
Nevada|"61,600"|"67,500"|"62,300"|(690)|"58,200"|(670)|"59,100"|(600)|"59,300"|(620)|"60,300"|(560)|"61,500"|(570)|"63,100"|(640)|"66,800"|(670)
New Hampshire|"67,200"|"73,400"|"69,400"|(570)|"65,800"|(620)|"67,200"|(550)|"68,100"|(540)|"68,800"|(620)|"70,400"|(620)|"72,500"|(640)|"74,800"|(630)
New Jersey|"81,100"|"85,400"|"80,200"|"(1,230)"|"75,300"|"(1,110)"|"77,600"|"(1,010)"|"79,600"|"(940)"|"81,400"|"(1,110)"|"82,900"|"(1,050)"|"85,800"|"(1,170)"|"85,900"|"(1,130)"
New Mexico|"45,300"|"51,700"|"48,300"|(810)|"46,700"|(870)|"47,200"|(790)|"49,300"|"(1,100)"|"49,700"|"(900)"|"50,200"|(810)|"52,300"|(840)|"53,600"|(840)"
New York|"67,600"|"70,700"|"67,500"|"(820)"|"65,900"|"(880)"|"67,900"|"(920)"|"69,000"|"(850)"|"71,000"|"(950)"|"72,900"|"(960)"|"76,400"|"(1,030)"|"76,200"|"(1,000)"
North Carolina|"53,800"|"59,800"|"55,300"|(470)|"50,800"|(460)|"52,000"|(360)|"53,400"|(490)|"54,400"|(430)|"55,100"|(540)|"57,000"|(450)|"57,800"|(470)"
North Dakota|"46,000"|"56,800"|"51,400"|"(1,080)"|"48,000"|"(1,260)"|"51,300"|"(1,170)"|"54,200"|"(1,090)"|"55,900"|"(1,160)"|"56,100"|"(1,220)"|"56,600"|"(1,160)"|"57,600"|"(1,270)"|"59,400"|"(1,250)"
Ohio|"59,900"|"65,100"|"61,000"|(430)|"56,600"|(400)|"58,000"|(330)|"59,300"|(350)|"60,100"|(510)|"61,100"|(410)|"62,300"|(410)|"63,200"|(460)
Oklahoma|"51,200"|"59,300"|"54,500"|(720)|"52,100"|(770)|"53,200"|(770)|"54,800"|(720)|"56,100"|(590)|"57,500"|(630)|"58,500"|(650)|"58,500"|(710)
Oregon|"57,500"|"62,300"|"58,100"|(570)|"57,200"|(550)|"58,800"|(500)|"61,100"|(610)|"61,400"|(600)|"63,600"|(650)|"65,400"|(550)|"65,900"|(560)
Pennsylvania|"63,900"|"68,600"|"65,000"|(580)|"61,200"|(490)|"62,900"|(490)|"64,200"|(450)|"65,500"|(590)|"66,200"|(550)|"67,700"|(610)|"68,300"|(610)
Rhode Island|"65,100"|"67,800"|"65,300"|(1,020)"|"59,800"|"(900)"|"61,300"|"(830)"|"63,100"|"(880)"|"63,500"|"(960)"|"65,600"|"(930)"|"68,100"|"(1,050)"|"67,700"|"(960)"
South Carolina|"52,700"|"57,900"|"55,000"|(470)|"51,100"|(440)|"52,200"|(300)|"54,100"|(480)|"54,800"|(430)|"56,300"|(510)|"58,100"|(480)|"58,900"|(510)
South Dakota|"48,600"|"55,900"|"51,800"|(700)|"50,400"|(660)|"51,600"|(690)|"53,200"|(640)|"55,300"|(810)|"56,200"|(680)|"57,100"|(650)|"57,800"|(670)
Tennessee|"49,200"|"56,500"|"52,300"|(520)|"50,100"|(470)|"51,400"|(420)|"53,700"|(580)|"54,100"|(470)|"54,200"|(460)|"54,600"|(480)|"55,900"|(520)
Texas|"60,700"|"64,500"|"60,900"|(600)|"56,500"|(570)|"57,100"|(560)|"58,200"|(620)|"59,500"|(600)|"60,100"|(600)|"62,100"|(560)|"63,700"|(590)
Utah|"57,700"|"69,600"|"63,200"|(920)|"60,400"|(960)|"62,200"|(920)|"64,200"|(900)|"67,300"|(970)|"68,100"|(1,050)"|"70,100"|(960)|"70,400"|(1,040)"
Vermont|"51,700"|"55,600"|"51,300"|(450)|"48,400"|(400)|"50,000"|(440)|"52,500"|(460)|"53,300"|(460)|"55,100"|(460)|"57,300"|(400)|"58,900"|(430)
Virginia|"66,800"|"71,700"|"69,600"|(660)|"64,700"|(620)|"67,000"|(610)|"69,200"|(630)|"69,800"|(620)|"70,500"|(580)|"73,400"|(600)|"74,400"|(600)
Washington|"64,100"|"70,400"|"65,600"|(610)|"62,100"|(520)|"63,800"|(560)|"65,500"|(610)|"67,300"|(590)|"68,600"|(570)|"72,300"|(660)|"72,700"|(640)
West Virginia|"40,600"|"44,400"|"40,900"|(420)|"39,200"|(410)|"39,900"|(370)|"41,100"|(380)|"41,100"|(440)|"41,300"|(460)|"41,300"|(400)|"41,800"|(430)
Wisconsin|"58,600"|"66,100"|"61,800"|(530)|"57,200"|(470)|"58,800"|(480)|"60,000"|(480)|"61,200"|(570)|"61,700"|(560)|"63,100"|(540)|"64,100"|(550)
Wyoming|"53,800"|"60,400"|"53,600"|(740)|"53,200"|(810)|"54,400"|(780)|"55,900"|(850)|"57,300"|(880)|"57,000"|(830)|"58,200"|(770)|"59,800"|(750)"
